Month,Year,OIL_COMPANIES,Quantity,last_updated
January,2022,"IOCL-DIGBOI,ASSAM",59,24-06-2023
January,2022,"IOCL-PARADIP,ODISHA",1325,24-06-2023
January,2022,"BPCL-KOCHI, KERALA",1450,24-06-2023
January,2022,"HPCL-MUMBAI,MAHARASHTRA",852,24-06-2023
January,2022,RIL TOTAL,5277,24-06-2023
February,2022,"IOCL-BARAUNI,BIHAR",529,24-06-2023
February,2022,"IOCL-HALDIA, WEST BENGAL",630,24-06-2023
February,2022,"IOCL-BONGAIGAON,ASSAM",181,24-06-2023
February,2022,CPCL-TOTAL,928,24-06-2023
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236,24-06-2023
February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6,24-06-2023
February,2022,"MRPL-MANGALORE,KARNATAKA",1392,24-06-2023
July,2021,HPCL-TOTAL,1898,24-06-2023
August,2021,IOCL TOTAL,4904,24-06-2023
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286,24-06-2023
August,2021,"HPCL-VISAKH,ANDHRA PRADESH",479,24-06-2023
August,2021,RIL TOTAL,5110,24-06-2023
September,2021,"IOCL-HALDIA, WEST BENGAL",642,24-06-2023
September,2021,"IOCL-DIGBOI,ASSAM",60,24-06-2023
September,2021,"BPCL-MUMBAI, MAHARASHTRA",957,24-06-2023
September,2021,BORL-BINA,579,24-06-2023
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079,24-06-2023
October,2021,"IOCL-DIGBOI,ASSAM",61,24-06-2023
October,2021,CPCL-TOTAL,500,24-06-2023
October,2021,BORL-BINA,658,24-06-2023
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535,24-06-2023
July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36,24-06-2023
August,2022,"IOCL-DIGBOI,ASSAM",61.16,24-06-2023
August,2022,CPCL-TOTAL,940.43,24-06-2023
August,2022,GRAND TOTAL,19533.7,24-06-2023
September,2022,IOCL TOTAL,5088.28,24-06-2023
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62,24-06-2023
October,2022,"IOCL-BARAUNI,BIHAR",568.94,24-06-2023
October,2022,"IOCL-HALDIA, WEST BENGAL",724.58,24-06-2023
October,2022,CPCL-TOTAL,723.13,24-06-2023
October,2022,"BPCL-KOCHI, KERALA",581.02,24-06-2023
October,2022,BORL-BINA,705.16,24-06-2023
October,2022,ONGC TOTAL,1501.02,24-06-2023
October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49,24-06-2023
October,2022,HPCL-TOTAL,2663.38,24-06-2023
September,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2230,24-06-2023
October,2020,"IOCL-PANIPAT, HARYANA",1237,24-06-2023
October,2020,BPCL-TOTAL,2910,24-06-2023
October,2020,ONGC TOTAL,738,24-06-2023
November,2020,"IOCL-KOYALI, GUJARAT",1124,24-06-2023
November,2020,"IOCL-PANIPAT, HARYANA",1359,24-06-2023
November,2020,IOCL TOTAL,6210,24-06-2023
November,2020,CPCL-TOTAL,729,24-06-2023
November,2020,BORL-BINA,594,24-06-2023
November,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038,24-06-2023
December,2020,"IOCL-DIGBOI,ASSAM",58,24-06-2023
December,2020,IOCL TOTAL,5988,24-06-2023
December,2020,HPCL-TOTAL,2311,24-06-2023
January,2021,"IOCL-MATHURA, UTTAR PRADESH",893,24-06-2023
January,2021,"IOCL-PANIPAT, HARYANA",1321,24-06-2023
January,2021,"MRPL-MANGALORE,KARNATAKA",1420,24-06-2023
January,2021,"NEL-VADINAR,GUJARAT",1545,24-06-2023
January,2021,GRAND TOTAL,21809,24-06-2023
February,2021,"IOCL-BARAUNI,BIHAR",518,24-06-2023
February,2021,"IOCL-MATHURA, UTTAR PRADESH",790,24-06-2023
February,2021,BPCL-TOTAL,3503,24-06-2023
March,2021,CPCL-TOTAL,964,24-06-2023
March,2021,"HPCL-VISAKH,ANDHRA PRADESH",867,24-06-2023
March,2021,"NEL-VADINAR,GUJARAT",1627,24-06-2023
June,2020,"IOCL-GUWAHATI,ASSAM",64,24-06-2023
June,2020,"IOCL-PARADIP,ODISHA",1227,24-06-2023
June,2020,"BPCL-MUMBAI, MAHARASHTRA",972,24-06-2023
June,2020,HPCL-TOTAL,2164,24-06-2023
July,2020,"IOCL-PANIPAT, HARYANA",1115,24-06-2023
July,2020,RIL TOTAL,4299,24-06-2023
July,2020,"NEL-VADINAR,GUJARAT",1560,24-06-2023
August,2020,CPCL-TOTAL,562,24-06-2023
August,2020,"NRL-NUMALIGARH, ASSAM",226,24-06-2023
August,2020,"HPCL-VISAKH,ANDHRA PRADESH",651,24-06-2023
August,2020,"RIL,JAMNAGAR,GUJARAT",3021,24-06-2023
September,2020,"IOCL-MATHURA, UTTAR PRADESH",615,24-06-2023
September,2020,CPCL-TOTAL,770,24-06-2023
July,2021,"NEL-VADINAR,GUJARAT",1677,24-06-2023
August,2021,"IOCL-BONGAIGAON,ASSAM",233,24-06-2023
August,2021,"MRPL-MANGALORE,KARNATAKA",1007,24-06-2023
August,2021,ONGC TOTAL,1013,24-06-2023
August,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1112,24-06-2023
August,2021,HPCL-TOTAL,1890,24-06-2023
September,2021,"IOCL-BARAUNI,BIHAR",56,24-06-2023
September,2021,"IOCL-PANIPAT, HARYANA",1086,24-06-2023
September,2021,"IOCL-GUWAHATI,ASSAM",77,24-06-2023
September,2021,IOCL TOTAL,4705,24-06-2023
September,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7,24-06-2023
September,2021,ONGC TOTAL,994,24-06-2023
September,2021,"HPCL-VISAKH,ANDHRA PRADESH",546,24-06-2023
September,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2361,24-06-2023
September,2021,RIL TOTAL,5203,24-06-2023
October,2021,"BPCL-KOCHI, KERALA",1444,24-06-2023
October,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113,24-06-2023
October,2021,HPCL-TOTAL,2501,24-06-2023
October,2021,"RIL,JAMNAGAR,GUJARAT",3110,24-06-2023
October,2021,GRAND TOTAL,20958,24-06-2023
November,2021,"IOCL-BARAUNI,BIHAR",479,24-06-2023
November,2021,"IOCL-KOYALI, GUJARAT",1123,24-06-2023
November,2021,CPCL-TOTAL,816,24-06-2023
November,2021,BORL-BINA,684,24-06-2023
November,2021,"NRL-NUMALIGARH, ASSAM",223,24-06-2023
November,2021,ONGC TOTAL,1475,24-06-2023
November,2021,HPCL-TOTAL,2445,24-06-2023
November,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2451,24-06-2023
December,2021,"IOCL-MATHURA, UTTAR PRADESH",766,24-06-2023
December,2021,"IOCL-DIGBOI,ASSAM",62,24-06-2023
December,2021,ONGC TOTAL,1441,24-06-2023
December,2021,"HPCL-VISAKH,ANDHRA PRADESH",809,24-06-2023
December,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1118,24-06-2023
December,2021,"RIL,JAMNAGAR,GUJARAT",3019,24-06-2023
December,2021,"NEL-VADINAR,GUJARAT",1710,24-06-2023
January,2022,"IOCL-HALDIA, WEST BENGAL",301,24-06-2023
January,2022,"IOCL-BONGAIGAON,ASSAM",207,24-06-2023
January,2022,BPCL-TOTAL,3475,24-06-2023
January,2022,ONGC TOTAL,1448,24-06-2023
January,2022,"HPCL-VISAKH,ANDHRA PRADESH",793,24-06-2023
January,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2235,24-06-2023
January,2022,GRAND TOTAL,21709,24-06-2023
February,2022,"IOCL-KOYALI, GUJARAT",1200,24-06-2023
February,2022,"IOCL-GUWAHATI,ASSAM",82,24-06-2023
February,2022,"IOCL-PARADIP,ODISHA",1211,24-06-2023
February,2022,IOCL TOTAL,5785,24-06-2023
February,2022,BORL-BINA,594,24-06-2023
June,2020,"IOCL-PANIPAT, HARYANA",1173,24-06-2023
June,2020,"IOCL-DIGBOI,ASSAM",61,24-06-2023
June,2020,IOCL TOTAL,5573,24-06-2023
June,2020,CPCL-TOTAL,579,24-06-2023
June,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7,24-06-2023
June,2020,"MRPL-MANGALORE,KARNATAKA",627,24-06-2023
June,2020,"HPCL-MUMBAI,MAHARASHTRA",654,24-06-2023
July,2020,"IOCL-BARAUNI,BIHAR",437,24-06-2023
